source,pollster,release_date,population,metric,candidate,value_pct,source_url,notes,last_updated
University of Houston Hobby School,University of Houston Hobby School,2026-02-09,GOP primary voters,favorable,Paxton,72.0,https://www.uh.edu/hobby/primary2026/senate.pdf,GOP primary electorate.,2026-05-12
University of Houston Hobby School,University of Houston Hobby School,2026-02-09,GOP primary voters,unfavorable,Paxton,22.0,https://www.uh.edu/hobby/primary2026/senate.pdf,GOP primary electorate.,2026-05-12
University of Houston Hobby School,University of Houston Hobby School,2026-02-09,GOP primary voters,favorable,Cornyn,61.0,https://www.uh.edu/hobby/primary2026/senate.pdf,GOP primary electorate.,2026-05-12
University of Houston Hobby School,University of Houston Hobby School,2026-02-09,GOP primary voters,unfavorable,Cornyn,30.0,https://www.uh.edu/hobby/primary2026/senate.pdf,GOP primary electorate.,2026-05-12
Impact Research,Impact Research,2026-03-20,GOP runoff voters,favorable,Paxton,64.0,https://www.newsmax.com/politics/talarico-texas-senate/2026/03/20/id/1250261/,Talarico campaign-sponsored poll; Republican voters.,2026-05-12
Impact Research,Impact Research,2026-03-20,GOP runoff voters,unfavorable,Paxton,31.0,https://www.newsmax.com/politics/talarico-texas-senate/2026/03/20/id/1250261/,Talarico campaign-sponsored poll; Republican voters.,2026-05-12
Impact Research,Impact Research,2026-03-20,GOP runoff voters,favorable,Cornyn,45.0,https://www.newsmax.com/politics/talarico-texas-senate/2026/03/20/id/1250261/,Talarico campaign-sponsored poll; Republican voters.,2026-05-12
Impact Research,Impact Research,2026-03-20,GOP runoff voters,unfavorable,Cornyn,47.0,https://www.newsmax.com/politics/talarico-texas-senate/2026/03/20/id/1250261/,Talarico campaign-sponsored poll; Republican voters.,2026-05-12
GQR/Senate Majority PAC,GQR,2026-03-30,GOP runoff voters,favorable,Paxton,56.0,https://senatemajority.com/wp-content/uploads/SMP-GQR-Texas-Republican-Primary-Memo.pdf,Sponsor-linked poll.,2026-05-12
GQR/Senate Majority PAC,GQR,2026-03-30,GOP runoff voters,unfavorable,Paxton,43.0,https://www.washingtonexaminer.com/news/4509864/paxton-leads-cornyn-texas-runoff-poll/,Reported in Washington Examiner.,2026-05-12
GQR/Senate Majority PAC,GQR,2026-03-30,GOP runoff voters,favorable,Cornyn,47.0,https://senatemajority.com/wp-content/uploads/SMP-GQR-Texas-Republican-Primary-Memo.pdf,Sponsor-linked poll.,2026-05-12
GQR/Senate Majority PAC,GQR,2026-03-30,GOP runoff voters,unfavorable,Cornyn,51.0,https://www.washingtonexaminer.com/news/4509864/paxton-leads-cornyn-texas-runoff-poll/,Reported in Washington Examiner.,2026-05-12
GQR/Senate Majority PAC,GQR,2026-03-30,GOP runoff voters,very_likely_to_vote_supporters,Paxton,85.0,https://www.washingtonexaminer.com/news/4509864/paxton-leads-cornyn-texas-runoff-poll/,Supporters rating themselves 10/10 likely to vote.,2026-05-12
GQR/Senate Majority PAC,GQR,2026-03-30,GOP runoff voters,very_likely_to_vote_supporters,Cornyn,70.0,https://www.washingtonexaminer.com/news/4509864/paxton-leads-cornyn-texas-runoff-poll/,Supporters rating themselves 10/10 likely to vote.,2026-05-12
GQR/Senate Majority PAC,GQR,2026-03-30,GOP runoff voters,strong_supporter,Paxton,38.0,https://senatemajority.com/news/new-poll-cornyn-lags-in-texas-senate-runoff-with-or-without-trump-endorsement/,Strong Paxton voters.,2026-05-12
GQR/Senate Majority PAC,GQR,2026-03-30,GOP runoff voters,strong_supporter,Cornyn,30.0,https://senatemajority.com/news/new-poll-cornyn-lags-in-texas-senate-runoff-with-or-without-trump-endorsement/,Strong Cornyn voters.,2026-05-12
Quantus Insights,Quantus Insights,2026-03-24,GOP runoff voters,certain_to_vote_supporters,Paxton,92.0,https://www.breitbart.com/politics/2026/03/24/poll-paxton-holds-edge-cornyn-texas-senate-runoff/,Reported supporter turnout certainty.,2026-05-12
Quantus Insights,Quantus Insights,2026-03-24,GOP runoff voters,certain_to_vote_supporters,Cornyn,86.0,https://www.breitbart.com/politics/2026/03/24/poll-paxton-holds-edge-cornyn-texas-senate-runoff/,Reported supporter turnout certainty.,2026-05-12
Quantus Insights,Quantus Insights,2026-03-24,GOP runoff voters,definite_choice,Paxton,88.0,https://www.breitbart.com/politics/2026/03/24/poll-paxton-holds-edge-cornyn-texas-senate-runoff/,Reported definite-choice share.,2026-05-12
Quantus Insights,Quantus Insights,2026-03-24,GOP runoff voters,definite_choice,Cornyn,86.0,https://www.breitbart.com/politics/2026/03/24/poll-paxton-holds-edge-cornyn-texas-senate-runoff/,Reported definite-choice share.,2026-05-12
PPP/Senate Majority PAC,Public Policy Polling,2026-03-05,general electorate,favorable,Paxton,30.0,https://senatemajority.com/wp-content/uploads/signal-2026-03-06-122044.pdf,General electorate favorability.,2026-05-12
PPP/Senate Majority PAC,Public Policy Polling,2026-03-05,general electorate,unfavorable,Paxton,54.0,https://senatemajority.com/wp-content/uploads/signal-2026-03-06-122044.pdf,General electorate favorability.,2026-05-12
