entity,candidate_affinity,entity_type,stage,date_start,date_end,receipts_m,disbursements_m,cash_on_hand_m,ad_support_m,ad_spending_m,source_url,notes,last_updated
John Cornyn campaign and joint fundraising committees,Cornyn,campaign+JFC,runoff,2026-01-01,2026-03-31,9.0,17.0,8.2,,,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,Q1 2026 totals across accounts under Cornyn control.,2026-05-18
Ken Paxton campaign and joint fundraising committee,Paxton,campaign+JFC,runoff,2026-01-01,2026-03-31,2.2,3.2,2.6,,,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,Q1 2026 totals across Paxton campaign and new JFC.,2026-05-18
Texans for a Conservative Majority,Cornyn,super PAC,runoff,2026-01-01,2026-03-31,9.5,,2.9,,,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,Main pro-Cornyn PAC; Q1 fundraising and cash on hand.,2026-05-18
Lone Star Liberty PAC,Paxton,super PAC,runoff,2026-01-01,2026-03-31,2.1,,1.0,,,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,Main pro-Paxton PAC; Q1 fundraising and cash on hand.,2026-05-18
Conservative Texans PAC,Cornyn,super PAC,runoff,2026-01-01,2026-03-31,5.0,,1.95,,,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,Pro-Cornyn spender in runoff.,2026-05-18
Cornyn campaign and associated victory funds,Cornyn,campaign+JFC,primary,2025-01-01,2026-02-27,,,,69.0,15.1,https://adimpact.com/blogs/tx-senate-ad-analysis-the-most-expensive-senate-primary-on-record,AdImpact: Cornyn received $69M total ad support; campaign/victory funds spent $15.1M.,2026-05-18
Ken Paxton ad support,Paxton,campaign+allies,primary,2025-01-01,2026-02-27,,,,4.1,3.7,https://adimpact.com/blogs/tx-senate-ad-analysis-the-most-expensive-senate-primary-on-record,AdImpact: Paxton trailed heavily in ad support.,2026-05-18
Wesley Hunt ad support,Hunt,campaign+allies,primary,2025-01-01,2026-02-27,,,,12.0,11.5,https://adimpact.com/blogs/tx-senate-ad-analysis-the-most-expensive-senate-primary-on-record,Included because Hunt-voter transfer is central to runoff modeling.,2026-05-18
Texans for a Conservative Majority,Cornyn,super PAC,runoff,2026-03-04,2026-05-06,35.6,32.8,,,9.5,https://www.texastribune.org/2026/05/15/texas-us-senate-gop-primary-donors-john-cornyn-ken-paxton/,"May 15 Texas Tribune guide using FEC records mostly through May 6 and AdImpact: $35.6M raised, $32.8M spent, $32.9M total ads, $9.5M runoff ads; cash on hand not separately reported in the article.",2026-05-18
Cornyn campaign and associated victory funds,Cornyn,campaign+JFC,runoff,2026-03-04,2026-05-06,26.5,23.4,,,6.4,https://www.texastribune.org/2026/05/15/texas-us-senate-gop-primary-donors-john-cornyn-ken-paxton/,"May 15 Texas Tribune guide using FEC records mostly through May 6 and AdImpact: $26.5M raised, $23.4M spent, $24.1M total ads, $6.4M runoff ads.",2026-05-18
Lone Star Liberty PAC,Paxton,super PAC,runoff,2026-03-04,2026-05-06,8.2,6.2,,,2.1,https://www.texastribune.org/2026/05/15/texas-us-senate-gop-primary-donors-john-cornyn-ken-paxton/,"May 15 Texas Tribune guide using FEC records mostly through May 6 and AdImpact: $8.2M raised, $6.2M spent, $4.2M total ads, $2.1M runoff ads; cash on hand not separately reported in the article.",2026-05-18
Ken Paxton campaign and associated victory funds,Paxton,campaign+JFC,runoff,2026-03-04,2026-05-06,8.1,5.3,,,2.5,https://www.texastribune.org/2026/05/15/texas-us-senate-gop-primary-donors-john-cornyn-ken-paxton/,"May 15 Texas Tribune guide using FEC records mostly through May 6 and AdImpact: $8.1M raised, $5.3M spent, $4.8M total ads, $2.5M runoff ads.",2026-05-18
John Cornyn candidate committee,Cornyn,candidate committee,context,2026-01-01,2026-04-28,7.23449,6.434692,4.922081,,,https://texpolls.com/races/us-senate-2026,"TexPolls/FEC candidate-committee summary through Apr. 28, 2026; context row excluded from runoff money model to avoid double-counting campaign/JFC totals.",2026-05-18
Ken Paxton candidate committee,Paxton,candidate committee,context,2026-01-01,2026-04-28,7.007951,4.861414,2.146537,,,https://texpolls.com/races/us-senate-2026,"TexPolls/FEC candidate-committee summary through Apr. 28, 2026; context row excluded from runoff money model to avoid double-counting campaign/JFC totals.",2026-05-18
