scenario,margin_bin_low,margin_bin_high,draw_count,density,last_updated
polling_only,-30.0,-28.0,5,0.0001,2026-05-09
polling_only,-28.0,-26.0,12,0.00024,2026-05-09
polling_only,-26.0,-24.0,13,0.00026,2026-05-09
polling_only,-24.0,-22.0,30,0.0006,2026-05-09
polling_only,-22.0,-20.0,81,0.00162,2026-05-09
polling_only,-20.0,-18.0,109,0.00218,2026-05-09
polling_only,-18.0,-16.0,223,0.00446,2026-05-09
polling_only,-16.0,-14.0,402,0.00804,2026-05-09
polling_only,-14.0,-12.0,605,0.0121,2026-05-09
polling_only,-12.0,-10.0,1002,0.02004,2026-05-09
polling_only,-10.0,-8.0,1275,0.0255,2026-05-09
polling_only,-8.0,-6.0,1700,0.034,2026-05-09
polling_only,-6.0,-4.0,2167,0.04334,2026-05-09
polling_only,-4.0,-2.0,2816,0.05632,2026-05-09
polling_only,-2.0,0.0,3444,0.06888,2026-05-09
polling_only,0.0,2.0,3908,0.07816,2026-05-09
polling_only,2.0,4.0,4163,0.08326,2026-05-09
polling_only,4.0,6.0,4246,0.08492,2026-05-09
polling_only,6.0,8.0,4275,0.0855,2026-05-09
polling_only,8.0,10.0,4057,0.08114,2026-05-09
polling_only,10.0,12.0,3525,0.0705,2026-05-09
polling_only,12.0,14.0,3025,0.0605,2026-05-09
polling_only,14.0,16.0,2499,0.04998,2026-05-09
polling_only,16.0,18.0,2050,0.041,2026-05-09
polling_only,18.0,20.0,1523,0.03046,2026-05-09
polling_only,20.0,22.0,1044,0.02088,2026-05-09
polling_only,22.0,24.0,752,0.01504,2026-05-09
polling_only,24.0,26.0,449,0.00898,2026-05-09
polling_only,26.0,28.0,263,0.00526,2026-05-09
polling_only,28.0,30.0,156,0.00312,2026-05-09
polling_plus_primary,-30.0,-28.0,3,6e-05,2026-05-09
polling_plus_primary,-28.0,-26.0,7,0.00014,2026-05-09
polling_plus_primary,-26.0,-24.0,13,0.00026,2026-05-09
polling_plus_primary,-24.0,-22.0,24,0.00048,2026-05-09
polling_plus_primary,-22.0,-20.0,54,0.00108,2026-05-09
polling_plus_primary,-20.0,-18.0,120,0.0024,2026-05-09
polling_plus_primary,-18.0,-16.0,230,0.0046,2026-05-09
polling_plus_primary,-16.0,-14.0,376,0.00752,2026-05-09
polling_plus_primary,-14.0,-12.0,601,0.01202,2026-05-09
polling_plus_primary,-12.0,-10.0,931,0.01862,2026-05-09
polling_plus_primary,-10.0,-8.0,1352,0.02704,2026-05-09
polling_plus_primary,-8.0,-6.0,2031,0.04062,2026-05-09
polling_plus_primary,-6.0,-4.0,2525,0.0505,2026-05-09
polling_plus_primary,-4.0,-2.0,3072,0.06144,2026-05-09
polling_plus_primary,-2.0,0.0,3797,0.07594,2026-05-09
polling_plus_primary,0.0,2.0,4113,0.08226,2026-05-09
polling_plus_primary,2.0,4.0,4486,0.08972,2026-05-09
polling_plus_primary,4.0,6.0,4500,0.09,2026-05-09
polling_plus_primary,6.0,8.0,4298,0.08596,2026-05-09
polling_plus_primary,8.0,10.0,4046,0.08092,2026-05-09
polling_plus_primary,10.0,12.0,3541,0.07082,2026-05-09
polling_plus_primary,12.0,14.0,2849,0.05698,2026-05-09
polling_plus_primary,14.0,16.0,2233,0.04466,2026-05-09
polling_plus_primary,16.0,18.0,1704,0.03408,2026-05-09
polling_plus_primary,18.0,20.0,1162,0.02324,2026-05-09
polling_plus_primary,20.0,22.0,807,0.01614,2026-05-09
polling_plus_primary,22.0,24.0,484,0.00968,2026-05-09
polling_plus_primary,24.0,26.0,303,0.00606,2026-05-09
polling_plus_primary,26.0,28.0,162,0.00324,2026-05-09
polling_plus_primary,28.0,30.0,98,0.00196,2026-05-09
full_model_mid_turnout,-30.0,-28.0,7,0.00014,2026-05-09
full_model_mid_turnout,-28.0,-26.0,10,0.0002,2026-05-09
full_model_mid_turnout,-26.0,-24.0,38,0.00076,2026-05-09
full_model_mid_turnout,-24.0,-22.0,63,0.00126,2026-05-09
full_model_mid_turnout,-22.0,-20.0,121,0.00242,2026-05-09
full_model_mid_turnout,-20.0,-18.0,232,0.00464,2026-05-09
full_model_mid_turnout,-18.0,-16.0,363,0.00726,2026-05-09
full_model_mid_turnout,-16.0,-14.0,560,0.0112,2026-05-09
full_model_mid_turnout,-14.0,-12.0,935,0.0187,2026-05-09
full_model_mid_turnout,-12.0,-10.0,1391,0.02782,2026-05-09
full_model_mid_turnout,-10.0,-8.0,1898,0.03796,2026-05-09
full_model_mid_turnout,-8.0,-6.0,2496,0.04992,2026-05-09
full_model_mid_turnout,-6.0,-4.0,3174,0.06348,2026-05-09
full_model_mid_turnout,-4.0,-2.0,3653,0.07306,2026-05-09
full_model_mid_turnout,-2.0,0.0,4187,0.08374,2026-05-09
full_model_mid_turnout,0.0,2.0,4484,0.08968,2026-05-09
full_model_mid_turnout,2.0,4.0,4538,0.09076,2026-05-09
full_model_mid_turnout,4.0,6.0,4374,0.08748,2026-05-09
full_model_mid_turnout,6.0,8.0,4044,0.08088,2026-05-09
full_model_mid_turnout,8.0,10.0,3479,0.06958,2026-05-09
full_model_mid_turnout,10.0,12.0,2937,0.05874,2026-05-09
full_model_mid_turnout,12.0,14.0,2264,0.04528,2026-05-09
