county,county_type,region_group,metro_area,priority,party_lean,historical_total_votes,elections_covered,runoff_retention_baseline,source_url,notes
Anderson,rural,Central/North Texas,regional,3,R+62,3800349,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Andrews,rural,West Texas,regional,2,R+77,942178,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Angelina,rural,East Texas,regional,2,R+53,6058424,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Aransas,border,Border/South Texas,regional,2,R+57,2381404,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Archer,rural,Central/North Texas,regional,3,R+81,992471,51,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Armstrong,rural,Central/North Texas,regional,3,R+86,232205,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Atascosa,rural,Central/North Texas,regional,3,R+36,3030732,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Austin,rural,Central/North Texas,regional,3,R+65,3456962,51,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Bailey,rural,West Texas,regional,2,R+68,384773,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Bandera,rural,Central/North Texas,regional,3,R+63,2516509,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Bastrop,rural,Central/North Texas,regional,3,R+18,6780631,51,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Baylor,rural,Central/North Texas,regional,3,R+79,301300,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Bee,rural,Central/North Texas,regional,3,R+34,1848158,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Bell,rural,Central/North Texas,regional,3,R+19,20753893,51,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Bexar,urban,Major Metro,San Antonio,1,D+12,179053278,58,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Blanco,rural,Central/North Texas,regional,3,R+53,1441525,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Borden,rural,West Texas,regional,2,R+93,87868,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Bosque,rural,Central/North Texas,regional,3,R+68,1702360,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Bowie,rural,East Texas,regional,2,R+50,6710077,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Brazoria,suburban,Suburban,Houston,1,R+23,32144827,52,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Brazos,rural,Central/North Texas,regional,3,R+25,13133876,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Brewster,border,Border/South Texas,regional,2,R+9,922489,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Briscoe,rural,West Texas,regional,2,R+81,172643,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Brooks,border,Border/South Texas,regional,2,D+24,677975,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Brown,rural,Central/North Texas,regional,3,R+76,3117961,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Burleson,rural,Central/North Texas,regional,3,R+63,1512554,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Burnet,rural,Central/North Texas,regional,3,R+57,4674545,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
